School_Name,Address_Line_1,Address_Town,Address_Postcode,LGA_ID,LGA_Name,X,Y
Marnebek School Cranbourne,9 New Holland Drive,Cranbourne East,3977,161,Casey (C),145.2965,-38.1102
Great Ryrie Primary School,51A Great Ryrie Street,Heathmont,3135,441,Maroondah (C),145.23763,-37.8238
Timbarra P-9 College,159-197 Parkhill Drive,Berwick,3806,161,Casey (C),145.32263,-38.01557
Parkwood Green Primary School,178 Community Hub,Hillside,3037,465,Melton (C),144.74446,-37.69921
Hillsmeade Primary School,82S The Promenade,Narre Warren South,3805,161,Casey (C),145.30746,-38.06472
Roxburgh Park Primary School,7-21 Almands Avenue,Roxburgh Park,3064,327,Hume (C),144.9314,-37.63424
Carranballac P-9 College,Cnr Foxwood Dve & Dunnings Rd,Point Cook,3030,726,Wyndham (C),144.74313,-37.88474
Benton Junior College,261 Racecourse Road,Mornington,3931,534,Mornington Peninsula (S),145.06111,-38.24595
Caulfield Primary School,724 Glen Huntly Road,Caulfield South,3162,231,Glen Eira (C),145.02003,-37.88805
East Gippsland Specialist School,31 Calvert Street,Bairnsdale,3875,211,East Gippsland (S),147.599,-37.82871
Roxburgh Rise Primary School,35 - 59 Lockwood Drive,Roxburgh Park,3064,327,Hume (C),144.9235,-37.61621
Lynbrook Primary School,Paterson Drive,Lynbrook,3975,161,Casey (C),145.24899,-38.05239
South Gippsland Specialist School,13 Horn Street,Leongatha,3953,617,South Gippsland (S),145.95729,-38.47819
Laurimar Primary School,Armidale Road,Doreen,3754,707,Whittlesea (C),145.12687,-37.58582
Truganina South Primary School,3-19 Parkvista Drive,Truganina,3029,726,Wyndham (C),144.72565,-37.86453
Kororoit Creek Primary School,130 Tenterfield Drive,Burnside Heights,3023,465,Melton (C),144.75458,-37.73503
Harvest Home Primary School,365 Harvest Home Road,Epping,3076,707,Whittlesea (C),145.00226,-37.62208
Truganina P-9 College,55 Clearwood Drive,Truganina,3029,726,Wyndham (C),144.71909,-37.83877
Burnside Primary School,35 Lexington Drive,Burnside,3023,465,Melton (C),144.75289,-37.74566
Berwick Chase Primary School,72 Viewgrand Drive,Berwick,3806,161,Casey (C),145.34696,-38.06743
Pakenham Lakeside Primary School,23 Shearwater Drive,Pakenham,3810,145,Cardinia (S),145.439,-38.06846
Davis Creek Primary School,65 Wootten Road,Tarneit,3029,726,Wyndham (C),144.66024,-37.85588
Pakenham Springs Primary School,5 Livingstone Boulevard,Pakenham,3810,145,Cardinia (S),145.47008,-38.08451
Taylors Hill Primary School,40-50 Loddon Drive,Taylors Hill,3037,465,Melton (C),144.7599,-37.71669
Cranbourne Carlisle Primary School,15 Silky Oak Drive,Cranbourne,3977,161,Casey (C),145.28906,-38.08753
Aurora School,96 Holland Road,Blackburn South,3130,698,Whitehorse (C),145.15079,-37.84018
Derrimut Primary School,40 Lennon Parkway,Derrimut,3026,118,Brimbank (C),144.7632,-37.78927
Epping Views Primary School,20 Mansfield Street,Epping,3076,707,Whittlesea (C),145.02402,-37.62844
Echuca Twin Rivers Primary School,66 Wilkinson Drive,Echuca,3564,137,Campaspe (S),144.72467,-36.13772
Cranbourne East Primary School,2 Bowyer Avenue,Cranbourne East,3977,161,Casey (C),145.30444,-38.10628
Yuille Park P-8 Community College,39 Violet Grove,Wendouree,3355,57,Ballarat (C),143.8204,-37.5275
Lyndhurst Primary School,70 Brookwater Parade,Lyndhurst,3975,161,Casey (C),145.25408,-38.07496
Aitken Creek Primary School,51-81 Grevillea Street,Craigieburn,3064,327,Hume (C),144.90557,-37.58175
Reservoir Views Primary School,73-91 Hickford Street,Reservoir,3073,189,Darebin (C),145.02272,-37.70552
Meadows Primary School,41 Gerbert Street,Broadmeadows,3047,327,Hume (C),144.92956,-37.68754
Mernda Park Primary School,40 Riverdale Boulevard,Mernda,3754,707,Whittlesea (C),145.09694,-37.61403
Sunshine Harvester Primary School,132 Hertford Road,Sunshine,3020,118,Brimbank (C),144.84569,-37.78293
Pakenham Primary School,50 Atlantic Drive,Pakenham,3810,145,Cardinia (S),145.51084,-38.06394
Alamanda K-9 College,86-100 Alamanda Boulevard,Point Cook,3030,726,Wyndham (C),144.74133,-37.90824
Whitehorse Primary School,70-86 Junction Road,Blackburn North,3130,698,Whitehorse (C),145.16699,-37.80747
Golden Square Primary School,19 - 31  Maple Street,Golden Square,3555,262,Greater Bendigo (C),144.2573,-36.7706
Lalor Gardens Primary School,134 Kingsway Drive,Lalor,3075,707,Whittlesea (C),145.00135,-37.66369
Chandler Park Primary School,Cochrane Avenue,Keysborough,3173,267,Greater Dandenong (C),145.18048,-37.9924
Keysborough Primary School,33 Coomoora Road,Springvale South,3172,267,Greater Dandenong (C),145.15242,-37.98263
Lyndale Greens Primary School,1 - 19 Oakwood Avenue,Dandenong North,3175,267,Greater Dandenong (C),145.20465,-37.96505
Athol Road Primary School,159-167 Athol Road,Springvale South,3172,267,Greater Dandenong (C),145.14997,-37.97105
Springvale Rise Primary School,32-52 Wareham Street,Springvale,3171,267,Greater Dandenong (C),145.15904,-37.93926
Spring Parks Primary School,24 Erica Street,Springvale,3171,267,Greater Dandenong (C),145.13951,-37.95884
Keilor Views Primary School,18 Swindon Crescent,Keilor Downs,3038,118,Brimbank (C),144.80919,-37.71765
Wyndham Park Primary School,59-77 Kookaburra Avenue,Werribee,3030,726,Wyndham (C),144.67655,-37.88487
Lightning Reef Primary School,74 Holmes Road,Bendigo,3550,262,Greater Bendigo (C),144.26844,-36.73692
Glenroy Central Primary School,10 Logan Street,Glenroy,3046,525,Merri-bek (C),144.92504,-37.70428
William Ruthven Primary School,60 Merrilands Road,Reservoir,3073,189,Darebin (C),145.00278,-37.69667
Newbury Primary School,202-226 Newbury Boulevard,Craigieburn,3064,327,Hume (C),144.90955,-37.57099
Dallas Brooks Community Primary School,26-36 King Street,Dallas,3047,327,Hume (C),144.94185,-37.6703
Horsham Primary School,38 Baillie Street,Horsham,3400,319,Horsham (RC),142.21515,-36.71138
Wyndham Vale Primary School,85 Ribblesdale Ave,Wyndham Vale,3024,726,Wyndham (C),144.60961,-37.89556
Officer Specialist School,3 Parker Street,Officer,3809,145,Cardinia (S),145.41131,-38.07079
Epping Primary School,805 High Street,Epping,3076,707,Whittlesea (C),145.02559,-37.64485
Hazel Glen College,115 Eminence Blvd,Doreen,3754,707,Whittlesea (C),145.11937,-37.59755
Tulliallan Primary School,89 Wheelers Park Drive,Cranbourne North,3977,161,Casey (C),145.32734,-38.0816
Coolaroo South Primary School,52-72 Bushfield Crescent,Coolaroo,3048,327,Hume (C),144.9309,-37.66206
Jacana School for Autism,19-39 Landy Road,Jacana,3047,327,Hume (C),144.91309,-37.68762
Torquay Coast Primary School,25 Stretton Drive,Torquay,3228,649,Surf Coast (S),144.33818,-38.30456
Arnolds Creek Primary School,59 Claret Ash Boulevard,Harkness,3337,465,Melton (C),144.54286,-37.66636
Wilandra Rise Primary School,25 Aayana Street,Clyde North,3978,161,Casey (C),145.31981,-38.10893
South Melbourne Primary School,129-161 Ferrars Street,Southbank,3006,590,Port Phillip (C),144.9535,-37.82935
Barton Primary School,90 Everlasting Boulevard,Cranbourne West,3977,161,Casey (C),145.23902,-38.11498
John Henry Primary School,141 Henry Road,Pakenham,3810,145,Cardinia (S),145.4428,-38.07754
South Melbourne Park Primary School,29 Albert Park Drive South,Albert Park,3206,590,Port Phillip (C),144.9627,-37.84054
Bridgewood Primary School,115 Bridge Road,Officer,3809,145,Cardinia (S),145.41966,-38.07195
Armstrong Creek School,100 Central Boulevard,Armstrong Creek,3217,275,Greater Geelong (C),144.36731,-38.23261
Hamlyn Views School,45 Calvert St,Hamlyn Heights,3215,275,Greater Geelong (C),144.33237,-38.12528
Aireys Inlet Primary School,Anderson Street,Aireys Inlet,3231,649,Surf Coast (S),144.10997,-38.45737
Aitken Hill Primary School,2 Rhyolite Drive,Craigieburn,3064,327,Hume (C),144.90556,-37.60171
Morwell Central Primary School,47 - 87 McDonald Street,Morwell,3840,381,Latrobe (C),146.40764,-38.23167
Ashley Park Primary School,105 Orchard Road,Doreen,3754,707,Whittlesea (C),145.12728,-37.61564
Casey Fields Primary School,Chapelton Road,Cranbourne East,3977,161,Casey (C),145.29841,-38.12014
Mirripoa Primary School,80 Unity Drive,Mount Duneed,3217,275,Greater Geelong (C),144.32848,-38.22492
Keysborough Gardens Primary School,10 Homeleigh Road,Keysborough,3173,267,Greater Dandenong (C),145.16132,-38.00951
Docklands Primary School,17 Little Docklands Drive,Docklands,3008,460,Melbourne (C),144.94055,-37.81271
Garrang Wilam Primary School,2 Canvas Street,Truganina,3029,726,Wyndham (C),144.72505,-37.82878
Aintree Primary School,11 Timbertop Parade,Aintree,3336,465,Melton (C),144.66623,-37.7238
Donnybrook Primary School,145 Olivine Boulevard,Donnybrook,3064,707,Whittlesea (C),144.99775,-37.53707
Deanside Primary School,38 Conservatory Drive,Deanside,3336,465,Melton (C),144.69701,-37.72176
Gaayip-Yagila Primary School,115 Blackmore Road,Mickleham,3064,327,Hume (C),144.90909,-37.52861
Riverbend Primary School,1 Communal Road,Wyndham Vale,3024,726,Wyndham (C),144.62651,-37.87627
Ramlegh Park Primary School,34S Thoroughbred Drive,Clyde North,3978,161,Casey (C),145.33828,-38.11488
Strathtulloh Primary School,2 Wembley Avenue,Strathtulloh,3338,465,Melton (C),144.58976,-37.71662
Gilgai Plains Primary School,10 Sequoia Drive,Kalkallo,3064,327,Hume (C),144.95825,-37.53243
Barrawang Primary School,7 Islington Street,Wollert,3750,707,Whittlesea (C),144.99354,-37.59795
Willowbank Primary School,385 McGeorge Road,Gisborne,3437,413,Macedon Ranges (S),144.6081,-37.50394
Clyde Creek Primary School,40 Eliston Avenue,Clyde,3978,161,Casey (C),145.33155,-38.12299
Wollert Primary School,131 De Rossi Boulevard,Wollert,3750,707,Whittlesea (C),145.02711,-37.61133
Endeavour Hills Specialist School,12-38 Amalfi Drive,Endeavour Hills,3802,161,Casey (C),145.24388,-37.97889
Quarters Primary School,10 Morningside Boulevard,Cranbourne West,3977,161,Casey (C),145.25017,-38.09481
Ngarri Primary School,70 Holyoake Parade,Manor Lakes,3024,726,Wyndham (C),144.58403,-37.86679
Lollypop Creek Primary School,114 Shipwright Parade,Werribee,3030,726,Wyndham (C),144.61342,-37.91097
Kurrun Primary School,22 Allsburg Avenue,Officer,3809,145,Cardinia (S),145.40499,-38.07026
Thornhill Park Primary School,61 Baxterpark Drive,Thornhill Park,3335,465,Melton (C),144.62601,-37.71533
Karwan Primary School,455 Bethany Road,Tarneit,3029,726,Wyndham (C),144.64577,-37.85261
Nearnung Primary School,85 Polly Parade,Tarneit,3029,726,Wyndham (C),144.68496,-37.82571
Wayi School,1200 Aitken Boulevard,Craigieburn,3064,327,Hume (C),144.92108,-37.57591
Alvie Primary School,40 Wool Wool Rd,Alvie,3249,175,Colac-Otway (S),143.50332,-38.2419
Apollo Bay P-12 College,20 Pengilley Avenue,Apollo Bay,3233,175,Colac-Otway (S),143.66051,-38.75352
Boisdale Consolidated School,69 Newry Road,Boisdale,3860,681,Wellington (S),146.97947,-37.87959
Cobram Primary School,90-100 WILLIAM STREET,Cobram,3644,490,Moira (S),145.6511,-35.92511
Cohuna Consolidated School,Mead St,Cohuna,3568,225,Gannawarra (S),144.21342,-35.80632
Collingwood College,Cnr Cromwell St/McCutcheon Way,Collingwood,3066,735,Yarra (C),144.9905,-37.80298
Dunkeld Consolidated School,93 Victoria Valley Road,Dunkeld,3294,626,Southern Grampians (S),142.34037,-37.63898
East Loddon P-12 College,793 Dingee Road,Dingee,3571,394,Loddon (S),144.14145,-36.37222
Foster Primary School,75 Pioneer Street,Foster,3960,617,South Gippsland (S),146.202,-38.65734
Goroke P-12 College,55 Natimuk-Frances Road,Goroke,3412,689,West Wimmera (S),141.48354,-36.71579
Heywood Consolidated School,51 Kentbruck Road,Heywood,3304,241,Glenelg (S),141.61292,-38.12752
Kiewa Valley Primary School,81 Kiewa East Road,Tangambalanga,3691,335,Indigo (S),147.03877,-36.25105
Lavers Hill K-12 College,Great Ocean Road,Lavers Hill,3238,175,Colac-Otway (S),143.38305,-38.68184
Lockington Consolidated School,20 Burns Street,Lockington,3563,137,Campaspe (S),144.53664,-36.26577
Manangatang P-12 College,4105 Mallee Highway,Manangatang,3546,661,Swan Hill (RC),142.88488,-35.05623
Terang College,45 Strong Street,Terang,3264,183,Corangamite (S),142.92139,-38.24628
Merino Consolidated School,49 Paschendale Road,Merino,3310,241,Glenelg (S),141.54831,-37.70637
Rushworth P-12 College,45 Heily Street,Rushworth,3612,137,Campaspe (S),145.0144,-36.58332
Macleod College,Carwarp Street,Macleod,3085,66,Banyule (C),145.07222,-37.72475
Pakenham Consolidated School,2 Rundell Way,Pakenham,3810,145,Cardinia (S),145.46466,-38.06537
Poowong Consolidated School,5 Gardner Lane,Poowong,3988,617,South Gippsland (S),145.7697,-38.34248
Port Fairy Consolidated School,Albert Street,Port Fairy,3284,549,Moyne (S),142.22822,-38.38662
Red Hill Consolidated School,341 Arthurs Seat Road,Red Hill,3937,534,Mornington Peninsula (S),144.99527,-38.36668
Sherbrooke Community School,311 Mt Dandenong Tourist Road,Sassafras,3787,745,Yarra Ranges (S),145.34944,-37.86824
Tongala Primary School,28 Miller Street,Tongala,3621,137,Campaspe (S),144.95652,-36.25215
Werrimull P-12 School,5 McDonald Street,Werrimull,3496,478,Mildura (RC),141.59384,-34.39041
Camperdown College,1 Wilson Street,Camperdown,3260,183,Corangamite (S),143.14544,-38.23973
Timboon P-12 School,Bailey Street,Timboon,3268,183,Corangamite (S),142.97589,-38.48406
Virtual School Victoria,315 Clarendon Street,Thornbury,3071,189,Darebin (C),145.0257,-37.76204
Wedderburn College,15-29 Hospital Street,Wedderburn,3518,394,Loddon (S),143.61877,-36.41702
Victorian School Of Languages,315 Clarendon Street,Thornbury,3071,189,Darebin (C),145.02583,-37.76195
Avenues Education,Level 2 999 Nepean Highway,Moorabbin,3189,343,Kingston (C),145.03628,-37.93458
Monash Children's Hospital School,246 Clayton Road,Clayton,3168,497,Monash (C),145.12425,-37.91938
Katandra Berendale Special School (interim name),2 Berend Street,Hampton East,3188,91,Bayside (C),145.03181,-37.93896
Mount Erin Secondary College,43 Robinsons Road,Frankston South,3199,217,Frankston (C),145.14663,-38.17412
Box Hill Senior Secondary College,Dunloe Avenue,Mont Albert North,3129,698,Whitehorse (C),145.11191,-37.80924
Edgars Creek Secondary College,2 Steen Avenue,Wollert,3750,707,Whittlesea (C),145.00507,-37.60949
Elevation Secondary College,199 Elevation Boulevard,Craigieburn,3064,327,Hume (C),144.89025,-37.59829
Clyde Secondary College,21 Fernlea Homestead Road,Clyde,3978,161,Casey (C),145.33886,-38.12955
Cobden Technical School,Mckenzie Street,Cobden,3266,183,Corangamite (S),143.06361,-38.32404
Lyndhurst Secondary College,950 South Gippsland Highway,Cranbourne,3977,161,Casey (C),145.27103,-38.07539
Daylesford Secondary College,39 Smith Street,Daylesford,3460,291,Hepburn (S),144.15185,-37.33467
Dromana Secondary College,110 Harrisons Road,Dromana,3936,534,Mornington Peninsula (S),145.01358,-38.34264
Grovedale College,19 Wingarra Drive,Grovedale,3216,275,Greater Geelong (C),144.32744,-38.2104
Irymple Secondary College,975 - 1011  Karadoc Ave,Irymple,3498,478,Mildura (RC),142.1647,-34.23233
Crusoe 7-10 Secondary College,57 - 75 Olympic Parade,Kangaroo Flat,3555,262,Greater Bendigo (C),144.23367,-36.78865
Peter Lalor Secondary College,35 Duncan Road,Lalor,3075,707,Whittlesea (C),145.01316,-37.66691
Lilydale Heights College,17-19 Nelson Road,Lilydale,3140,745,Yarra Ranges (S),145.34141,-37.74582
Staughton College,Wilson Road,Melton South,3338,465,Melton (C),144.56869,-37.70836
Chaffey Secondary College,261-289 Deakin Avenue,Mildura,3500,478,Mildura (RC),142.14798,-34.19573
Bentleigh Secondary College,4 Vivien St,Bentleigh East,3165,231,Glen Eira (C),145.0598,-37.92736
Mount Clear College,59 Olympic Avenue,Mount Clear,3353,57,Ballarat (C),143.87667,-37.60796
Rosehill Secondary College,33 Sapphire Street,Niddrie,3042,506,Moonee Valley (C),144.88618,-37.74668
Northern College of the Arts and Technology,62 Murray Road,Preston,3072,189,Darebin (C),145.02537,-37.74007
