,,,Personal income in Australia - year ended 30 June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gross capital gains - year ended 30 June,,,,Selected Government pensions and allowances - at 30 June,,,Total personal income (weekly) - Persons aged 15 years and over - Census,,,,,,,,Equivalised total household income (weekly) - Census,,,,,,,,
Code,Label,Year,Employee income earners (no.),Employee income earners - median age (years),Total employee income ($m),Median employee income ($),Mean employee income ($),Employee income as main source of income (%),Own unincorporated business income earners (no.),Own unincorporated business income earners - median age (years),Total own unincorporated business income ($m),Median own unincorporated business income ($),Mean own unincorporated business income ($),Own unincorporated business income as main source of income (%),Investment income earners (no.),Investment income earners - median age (years),Total investment income ($m),Median investment income ($),Mean investment income ($),Investment income as main source of income (%),Superannuation and annuity income earners (no.),Superannuation and annuity income earners - median age (years),Total superannuation and annuity income ($m),Median superannuation and annuity income ($),Mean superannuation and annuity income ($),Superannuation and annuity income as main source of income (%),Total income earners (excl. Government pensions and allowances) (no.),Total income earners (excl. Government pensions and allowances) - median age (years),Total income (excl. Government pensions and allowances) ($m),Median total income (excl. Government pensions and allowances) ($),Mean total income (excl. Government pensions and allowances) ($),Total income (excl. Government pensions and allowances) - p80/P20 ratio,Total income (excl. Government pensions and allowances) - p80/P50 ratio,Total income (excl. Government pensions and allowances) - p20/P50 ratio,Total income (excl. Government pensions and allowances) - p10/P50 ratio,Total income (excl. Government pensions and allowances) - gini coefficient,Total income (excl. Government pensions and allowances) - income share of top 1% of earners,Total income (excl. Government pensions and allowances) - income share of top 5% of earners,Total income (excl. Government pensions and allowances) - income share of top 10% of earners,Total income (excl. Government pensions and allowances) - lowest Quartile (%),Total income (excl. Government pensions and allowances) - second Quartile (%),Total income (excl. Government pensions and allowances) - third Quartile (%),Total income (excl. Government pensions and allowances) - highest Quartile (%),Persons who reported gross capital gains (no.),Total value of gross capital gains ($m),Median value of gross capital gains ($),Mean value of gross capital gains ($),Age pension - Department of Veterans' Affairs (no.),Service pension - Department of Veterans' Affairs (no.),Income support supplement - Department of Veterans' Affairs (no.),$1-$499 per week (%),$500-$999 per week (%),$1000-$1999 per week (%),$2000-$2999 per week (%),$3000 or more per week (%),Nil income (%),Negative income (%),Income inadequately described or not stated (%),Median equivalised total household income (weekly) ($),$1-$499 per week (%),$500-$999 per week (%),$1000-$1999 per week (%),$2000-$2999 per week (%),$3000 or more per week (%),Nil income (%),Partial income stated (%),All incomes not stated (%)
20260,Ararat,2022,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,587,29.2,4307,49714,-,29,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20570,Ballarat,2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,653,-,-,-,-,-,-,-,-
20570,Ballarat,2016,49164,39,2506.2,44699,50975,77.9,6991,47,161.4,9090,23093,6.4,38269,45,324.1,189,8469,13.9,1643,58,36.6,13017,22262,1.4,53932,43,2933.5,44953,54393,4.66,1.78,0.38,0.16,0.454,8.4,20.4,30.8,25.9,27.1,26.9,20.1,-,-,-,-,-,-,-,33.1,25.8,20.2,3.1,1.8,6.8,0.4,8.7,746,25.8,33,25.5,3.5,1.5,1.2,6.6,2.9
20570,Ballarat,2017,50318,39,2652.8,46105,52722,77.9,7159,47,172,9874,24021,6.3,38443,46,326.6,177,8496,13.8,1611,58,37.1,13397,23027,1.5,55603,43,3093.3,45942,55631,4.72,1.79,0.38,0.16,0.452,7.8,19.9,30.5,25.7,26.9,26.7,20.8,-,-,-,-,18,433,299,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20570,Ballarat,2018,51744,39,2828,48138,54654,78.5,7365,47,181.7,10085,24667,6,39208,46,354.4,167,9039,13.7,1393,58,34.8,15872,25017,1.3,57540,43,3329.9,47859,57871,4.66,1.78,0.38,0.16,0.453,8.4,20.3,30.8,25.2,26.8,26.8,21.2,-,-,-,-,18,393,290,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20570,Ballarat,2019,53689,39,3029.3,49766,56423,78.8,7420,47,180.5,9159,24322,5.9,41520,45,377.7,133,9097,13.6,1394,58,36.4,16439,26110,1.3,59169,42,3513.5,49697,59380,4.68,1.79,0.38,0.16,0.447,7.5,19.4,30,25.1,26.7,26.6,21.6,-,-,-,-,22,379,253,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20570,Ballarat,2020,55362,39,3252.3,51302,58747,79.2,7582,46,177.2,9000,23372,5.8,40660,45,379.4,101,9330,13.2,1350,58,33.3,15067,24694,1.3,61059,42,3721.7,50767,60953,4.72,1.8,0.38,0.15,0.449,7.5,19.4,30,25.2,26.3,26.5,21.9,4290,158.7,3139,36990,23,357,225,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20570,Ballarat,2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5733,201.7,2701,35181,16,325,195,25.8,26.1,25.6,5.9,3.2,6.2,0.7,6.5,935,18.5,30.7,33.4,7.2,2.8,1.4,4.1,1.9
20570,Ballarat,2022,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6422,306.2,2934,47678,16,325,185,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20660,Banyule,2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,855,-,-,-,-,-,-,-,-
20660,Banyule,2016,65521,40,4144.2,52743,63250,75.1,9336,45,244.9,10990,26235,6.4,56792,45,585.6,455,10310,16.3,2474,59,68.7,20632,27757,1.6,72824,43,4786,51515,65721,5.04,1.87,0.37,0.16,0.472,8.5,21.5,32.5,23.6,22.9,24.5,28.9,-,-,-,-,-,-,-,26.4,22.1,25.2,6.2,3.8,8.8,0.4,7.1,1002,16.9,26.8,33.8,8.6,2.9,1.4,7.3,2.2
20660,Banyule,2017,65900,40,4335.7,54559,65791,75.2,9598,45,254.7,10669,26536,6.3,56897,45,591.3,414,10392,16.2,2366,60,69.6,22118,29424,1.6,74032,43,4992,52841,67431,5.18,1.88,0.36,0.16,0.488,8.9,21.9,33.1,23.6,22.6,24,29.7,-,-,-,-,9,476,310,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20660,Banyule,2018,67283,40,4600.6,56342,68377,75.5,9811,45,268.4,11397,27359,6.3,58158,45,677.3,386,11646,16.1,2083,60,61.4,23490,29493,1.5,76202,43,5372,54519,70497,5.19,1.89,0.37,0.16,0.479,9.4,22.1,33.2,23.4,22.7,24,30,-,-,-,-,12,427,272,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20660,Banyule,2019,68149,40,4824.1,58837,70787,75.6,10009,44,276.7,11124,27647,6.2,59507,45,713.4,342,11989,16.1,1998,61,63.2,24952,31630,1.4,77190,43,5650.2,56692,73199,5.16,1.88,0.36,0.16,0.478,9.4,22.2,33.1,23.3,22.4,23.9,30.5,-,-,-,-,13,387,227,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20660,Banyule,2020,68156,40,5012.9,61256,73550,75.8,10059,44,284.1,10546,28245,6.3,57776,45,646.7,290,11193,15.8,1863,62,59.3,25700,31843,1.5,76933,43,5717.3,58553,74315,5.21,1.88,0.36,0.15,0.473,8.4,21.1,32.3,23.2,22.1,24.1,30.6,7436,292.2,2524,39292,10,342,192,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20660,Banyule,2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10402,355.3,2338,34159,7,302,142,21.8,20.1,27.8,10.1,6.9,8.1,0.7,4.6,1239,12.9,22.4,36.3,14.7,6.4,1.8,3.9,1.5
20660,Banyule,2022,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11388,668.9,2506,58740,7,293,138,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20740,Bass Coast,2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,585,-,-,-,-,-,-,-,-
20740,Bass Coast,2016,13569,44,599,37048,44147,65.2,3916,51,75.4,13712,19254,13.9,12163,53,96.4,387,7923,18.2,623,59,15,14478,24084,2.1,16986,49,756.7,35998,44549,5.43,1.89,0.35,0.14,0.475,6.5,20,31.6,33.1,31.4,21.4,14.2,-,-,-,-,-,-,-,38,26.7,15.1,2,1.4,5.7,0.5,10.5,625,31.8,34.6,17.9,2.3,1.2,1.4,6.7,4
20740,Bass Coast,2017,14037,44,637,37826,45380,65.9,4009,51,78.8,13090,19649,13.2,12558,53,98.1,384,7812,18.1,649,59,16.3,14988,25099,2.1,17795,49,807,36330,45350,5.49,1.92,0.35,0.13,0.475,6.3,19.5,31.2,32.9,30.7,21.6,14.7,-,-,-,-,7,260,111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20740,Bass Coast,2018,14667,44,691.2,39115,47123,66.3,4122,51,84.6,13440,20535,12.6,13076,53,111.8,359,8551,18.4,607,59,16.1,16593,26552,2,18630,49,875.5,37559,46996,5.65,1.92,0.34,0.13,0.482,6.6,20,31.7,33.4,30,21.8,14.8,-,-,-,-,4,235,103,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20740,Bass Coast,2019,15096,44,731.1,40611,48430,66.7,4139,51,82.4,13203,19918,12.1,13662,53,125.2,299,9167,18.3,607,59,19.2,18076,31571,2,19107,49,934.2,39131,48895,5.46,1.9,0.35,0.14,0.478,7.1,20.1,31.6,32.5,30.5,22.1,14.9,-,-,-,-,4,232,86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20740,Bass Coast,2020,16051,44,819.3,42814,51046,66.5,4440,51,95.2,13534,21430,12.6,14060,53,128.6,243,9150,18.2,597,59,17.8,19381,29772,1.9,20333,49,1026.6,40532,50491,5.67,1.92,0.34,0.12,0.478,6.9,19.9,31.5,32.4,30.2,21.9,15.5,1715,73.1,4405,42599,-,217,78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20740,Bass Coast,2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2350,171.9,6270,73152,-,198,79,30.5,26.5,20.5,4.2,2.7,5.8,0.8,8.9,776,23.3,33.6,25.9,5,2.8,2.1,4.5,2.8
20740,Bass Coast,2022,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2703,157.5,5031,58280,-,190,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20830,Baw Baw,2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,661,-,-,-,-,-,-,-,-
20830,Baw Baw,2016,22872,41,1178.3,43928,51517,71.8,5934,52,91.3,8703,15383,11.2,18824,49,138.6,263,7360,15.1,822,58,16.7,11437,20321,1.4,26913,46,1374.1,41961,51058,5.12,1.87,0.36,0.14,0.467,6.2,19.1,30.4,28.5,27.8,24.5,19.2,-,-,-,-,-,-,-,32.2,25.9,19.3,3.3,1.7,7.5,0.6,9.5,746,25.1,33.8,24.6,3.8,1.4,1.3,7.2,3
20830,Baw Baw,2017,23683,41,1245.3,44741,52582,72.2,6102,52,95.5,7773,15658,10.7,19447,49,149.1,235,7666,15.1,844,58,21.6,13367,25649,1.5,28054,46,1464.7,42534,52210,5.35,1.9,0.36,0.14,0.468,6.5,19.2,30.6,28.6,27.4,24.1,19.9,-,-,-,-,4,258,114,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20830,Baw Baw,2018,24564,41,1345.6,46642,54779,73.2,6102,52,100.7,8247,16506,9.9,20105,49,158.7,226,7894,15,777,59,18.2,13283,23446,1.4,29050,46,1566.2,44473,53914,5.17,1.88,0.36,0.14,0.463,6,18.7,30,27.9,27.5,24.4,20.2,-,-,-,-,4,251,98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20830,Baw Baw,2019,25470,40,1437.9,49014,56456,74.2,5947,52,97.8,7638,16452,9.2,21036,48,176.5,175,8388,14.7,728,59,18.6,13160,25574,1.3,29950,45,1678.9,46739,56057,5.04,1.86,0.37,0.14,0.456,6,18.4,29.6,27.4,27.4,24.8,20.5,-,-,-,-,4,247,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20830,Baw Baw,2020,26816,40,1563.8,50344,58316,74.5,6136,52,113.1,9041,18429,9.7,20817,48,180.3,131,8663,14.1,715,59,16.7,12305,23405,1.2,31204,45,1809.5,48180,57988,4.91,1.85,0.38,0.15,0.456,6.3,18.5,29.7,26.6,27.7,24.8,20.9,2159,65.7,3715,30428,9,240,91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20830,Baw Baw,2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2946,129.5,4467,43945,6,224,65,26.2,25.5,24.8,5.5,3,6.9,0.7,7.3,932,18,30.6,33.2,6.7,2.8,1.6,4.6,2.4
20830,Baw Baw,2022,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3490,186.2,4256,53366,6,214,67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20910,Bayside (Vic.),2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1083,-,-,-,-,-,-,-,-
20910,Bayside (Vic.),2016,50393,44,4522.7,56121,89749,62.5,9019,50,427,13459,47345,6.9,53295,49,1461.7,1951,27426,27.8,2328,60,72.4,21682,31091,1.6,62817,48,6231.1,58909,99195,7.05,2.33,0.33,0.14,0.581,14.1,31.3,43.4,23.1,19.6,19,38.4,-,-,-,-,-,-,-,21.7,17.8,22.5,8.4,11.8,9.4,0.4,7.9,1303,12.5,19.7,31.5,14.7,9,1.4,8.6,2.4
20910,Bayside (Vic.),2017,51168,44,4715.4,58166,92155,62.7,9081,50,443.9,13967,48882,6.8,53756,50,1461.6,1917,27189,27.7,2115,60,69.3,23790,32775,1.5,64242,48,6476.3,59884,100811,7.2,2.34,0.33,0.14,0.578,13.4,30.8,43,23.1,19.5,18.6,38.8,-,-,-,-,-,277,307,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20910,Bayside (Vic.),2018,51841,44,4948.5,59939,95455,63.3,9109,50,453.2,14103,49748,6.5,54789,50,1650.7,1826,30129,27.6,1858,65,62.2,25709,33498,1.5,65596,48,6928.8,61075,105628,7.29,2.35,0.32,0.14,0.59,15.2,32.6,44.5,23.3,19.6,18.4,38.7,-,-,-,-,7,227,252,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20910,Bayside (Vic.),2019,52627,44,5115.5,61601,97204,63.2,9281,50,453.8,13949,48895,6.4,55237,50,1728.6,1802,31294,27.7,1747,66,61.6,25800,35233,1.4,66051,48,7118.6,63649,107774,7.13,2.31,0.32,0.14,0.584,15,32.2,44,23.2,19.3,18.7,38.7,-,-,-,-,-,177,204,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20910,Bayside (Vic.),2020,52583,44,5274.9,64379,100316,63.9,9230,50,469.3,13827,50850,6.5,54536,50,1702.8,1629,31223,27,1622,68,57.2,26166,35235,1.4,66168,49,7212.6,64459,109004,7.27,2.31,0.32,0.13,0.584,15.2,32,43.8,23.6,19.3,18.5,38.6,10507,952.6,4567,90667,-,157,182,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20910,Bayside (Vic.),2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12987,1596.9,4626,122961,-,135,136,19,16.4,23.2,10.5,16.4,8.9,0.6,5,1597,10.3,16.7,29.9,19.3,15.8,1.8,4.5,1.5
20910,Bayside (Vic.),2022,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14400,1483.6,4907,103026,-,126,133,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21010,Benalla,2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,578,-,-,-,-,-,-,-,-
21010,Benalla,2016,6207,44,284.8,41197,45877,69.5,1776,55,22.9,5818,12900,11.2,5467,53,37.8,343,6917,17,300,59,6.8,16383,22634,1.9,7438,50,338.2,38821,45470,5.64,1.83,0.32,0.11,0.469,6.1,18.5,29.7,32.2,27.9,24.9,15,-,-,-,-,-,-,-,35.9,27.1,16.5,2,1.3,5.8,0.5,10.9,646,31,33.5,20.1,2.5,1.2,1.1,6.8,3.9
21010,Benalla,2017,6154,45,293.3,42775,47668,69.7,1759,56,21.8,5877,12377,10.7,5414,54,38.1,308,7038,17.1,285,59,7,16875,24452,1.9,7530,50,349.7,39583,46435,5.71,1.84,0.32,0.11,0.465,5.7,17.8,29.1,31.2,28.3,24.7,15.8,-,-,-,-,-,89,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21010,Benalla,2018,6303,45,308.4,44547,48933,70.8,1764,56,22.2,6000,12604,10.1,5445,54,41.6,310,7648,17,258,59,7.4,17073,28709,1.7,7673,50,366.4,41382,47751,5.49,1.8,0.33,0.11,0.462,5.8,17.9,29,30.9,28.4,25.4,15.3,-,-,-,-,5,77,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21010,Benalla,2019,6387,44,322.7,46166,50529,71.6,1722,56,18.4,4845,10685,9,5534,54,46.1,297,8338,17,254,59,6.5,17405,25779,1.8,7743,50,382.8,42624,49438,5.51,1.82,0.33,0.12,0.463,5.8,17.9,28.9,31.3,27.3,25.7,15.8,-,-,-,-,-,71,43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21010,Benalla,2020,6554,44,351.1,48364,53564,71,1788,56,17.2,5842,9640,10.1,5401,54,46.2,236,8563,16.6,235,59,6.5,22338,27481,1.8,7961,50,406.4,43992,51046,5.84,1.82,0.31,0.1,0.475,6.2,18.3,29.5,31,27.1,25.7,16.1,614,24.8,3987,40360,-,67,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21010,Benalla,2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,730,23,4459,31548,-,61,30,29.5,26,22,4.2,1.8,5.4,0.8,10.3,796,22.5,32.8,27.2,5.2,2.4,1.4,5,3.3
21010,Benalla,2022,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,821,37.7,4336,45942,-,58,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21110,Boroondara,2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1133,-,-,-,-,-,-,-,-
21110,Boroondara,2016,90644,39,7394.5,54004,81577,64.7,15631,48,1010.2,13633,64630,6.6,94482,46,2362.3,1682,25002,26.4,3424,60,118,22984,34469,1.4,109911,45,10526.2,57306,95770,6.91,2.26,0.33,0.14,0.584,14.3,31.7,43.9,23.9,19.5,19.6,37,-,-,-,-,-,-,-,21,17.8,23.4,8.2,10.5,11.5,0.4,7.2,1298,12.1,19.2,32.4,14.6,8.5,2.5,8.8,1.8
21110,Boroondara,2017,91374,39,7624.5,55127,83443,64.5,15814,48,1024.9,13867,64812,6.5,95375,47,2355.8,1527,24701,26.8,3155,60,114.9,24828,36420,1.3,112506,45,10839.2,57294,96343,7.33,2.29,0.31,0.12,0.587,14.3,31.7,43.9,24.8,19.3,19.1,36.9,-,-,-,-,5,260,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21110,Boroondara,2018,92496,39,7928.8,57403,85720,65.6,15932,48,1061.4,14237,66618,6.3,97694,47,2516.4,1412,25758,26,2660,66,97.4,26130,36619,1.2,115441,45,11246.7,58284,97424,7.36,2.27,0.31,0.12,0.587,14.1,31.7,43.9,25.1,19.3,19.2,36.4,-,-,-,-,4,213,176,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21110,Boroondara,2019,93533,39,8193.5,59221,87600,64.4,16056,48,1060.1,14422,66024,6.2,99213,46,2635.4,1306,26563,27.2,2517,67,97.2,27931,38635,1.2,116188,45,11647.9,60576,100250,7.25,2.26,0.31,0.12,0.585,13.9,31.5,43.6,25,19.3,19,36.7,-,-,-,-,4,197,152,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21110,Boroondara,2020,92859,39,8392.8,61699,90383,64.6,15995,47,1058,13442,66148,6.2,97601,47,2469.5,1218,25302,26.9,2410,68,91.5,27938,37973,1.2,116179,45,11716.1,60701,100845,7.5,2.28,0.3,0.11,0.589,14.5,31.8,43.8,25.8,19.3,18.7,36.2,19323,1102.2,4142,57039,7,169,123,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21110,Boroondara,2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23899,1885,3872,78875,-,154,85,18.4,16.6,25,10.2,14.7,10.2,0.5,4.4,1570,9.6,16.7,31.7,19.1,14.7,2.3,4.7,1.1
21110,Boroondara,2022,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26171,2674.6,4306,102195,-,140,84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21180,Brimbank,2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,636,-,-,-,-,-,-,-,-
21180,Brimbank,2016,94621,37,4574.5,43917,48346,81.7,13040,39,242.6,13427,18606,8.4,61923,40,223,146,3600,8.7,1858,57,38.4,10353,20671,0.9,99557,39,4841.2,42978,48627,4.17,1.7,0.41,0.19,0.411,5.1,16.3,26.9,26.6,29.1,28.4,15.9,-,-,-,-,-,-,-,33.3,24.1,17.5,2.2,0.8,12.5,0.9,8.8,700,27.5,32.4,23.5,2.7,0.7,2.2,8.1,2.8
21180,Brimbank,2017,96316,36,4747.1,44455,49287,81.9,13760,39,254,13122,18458,8.1,61671,40,228.8,130,3710,8.6,1811,57,40.2,10873,22208,0.9,101607,39,5044.5,43443,49647,4.21,1.73,0.41,0.2,0.414,5.2,16.5,27.1,26.4,29.4,27.8,16.4,-,-,-,-,6,984,119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21180,Brimbank,2018,98295,36,5027.6,45881,51148,82.3,14356,38,269.9,13600,18803,8,62969,41,245.5,110,3898,8.4,1675,57,39.4,11172,23508,0.9,104733,39,5346,44657,51044,4.29,1.73,0.4,0.19,0.418,5.3,16.7,27.4,26.7,29.2,27.5,16.5,-,-,-,-,-,983,98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21180,Brimbank,2019,100245,36,5251.6,47372,52388,81.9,15165,38,292.2,13860,19268,8.3,66658,40,268.8,79,4033,8.5,1574,57,35.9,12158,22812,0.8,107006,38,5593.3,45981,52271,4.26,1.72,0.4,0.2,0.415,5.1,16.5,27.1,27,29.1,27.6,16.3,-,-,-,-,-,990,88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21180,Brimbank,2020,99610,37,5377.3,48382,53983,82,15064,37,280,12933,18589,8.2,63704,40,266.4,56,4182,8.4,1561,56,34,10000,21808,0.8,106200,38,5672.6,46673,53414,4.31,1.73,0.4,0.19,0.419,5.2,16.6,27.4,27.1,29.2,27.4,16.3,4164,125.4,2324,30112,5,984,77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21180,Brimbank,2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7126,192.8,2029,27060,-,947,57,28,22.8,22.6,4.1,1.7,11.9,1.2,7.7,861,21.7,29.7,31.1,6.3,1.7,2.9,4.8,1.9
21180,Brimbank,2022,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7801,271.4,1985,34794,-,945,57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21270,Buloke,2011,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,510,-,-,-,-,-,-,-,-
21270,Buloke,2016,2557,44,99.9,33757,39082,60.8,1123,55,-0.4,520,-351,12.1,2699,53,19.3,724,7149,25,100,58,1.7,9960,16707,1.6,3382,51,116.2,28980,34346,13.2,2.15,0.16,0.01,0.639,7,21,34.3,42.9,25.2,21.1,10.8,-,-,-,-,-,-,-,38.7,23.9,14.3,1.1,1,7,1.4,12.7,571,35.8,31.5,16.1,1.5,0.9,2.5,7,4.4
21270,Buloke,2017,2617,44,106,35089,40495,60.4,1209,56,37.3,14527,30886,20.7,2649,54,17.4,595,6585,17.5,86,58,1.6,9943,19106,1,3440,50,157.4,36990,45756,7.26,1.99,0.27,0.1,0.495,6.4,19.3,31.1,35,25.8,23.1,16.1,-,-,-,-,-,32,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
